वाटाणा,NN
फुटाणा,NN
शेंगदाणा,NN
उडत,VM
चालले,VAUX
टणाटणा!,RDP
वाटेत,VM
भेटला,VM
तिळाचा,NN
कण,NN
हसायला,VM
लागले,VAUX
तिघेही,QO
जण!,PRP
तीळ,NN
चालला,VM
भरभर,RDP
थांबत,VM
नाही,NEG
कुठे,WQ
पळभर!,JJ
‘‘तीळा,NN
,UNK
तीळा,NN
,UNK
कसली,WQ
रे,INJ
गडबड?’’,NN
‘‘थांबायला,VM
वेळ,NN
नाही,NEG
.,SYM

सांगायला,VM
वेळ,NN
नाही,NEG
.,SYM

काम,NN
आहे,VM
मोठं,JJ
मला,PRP
नाही,NEG
सवड!’’,NN
‘‘ऐक,VM
तर,CC
जरा,CC
पहा,VM
तर,CC
खरा,VM
कणभर,JJ
तीळाचा,NN
मणभर,JJ
नखरा!’’,NN
‘‘बघा,VM
तरी,NN
थाट!,RB
सोडा,VM
माझी,PRP
वाट!’’,VM
‘‘बघूया,VAUX
गंमत,RB
करूया,VM
जंमत!,RB
चला,NN
रे,INJ
जाऊ,NN
याच्या,PRP
बरोबर,NN
.,SYM
’’,SYM
तीळ,NN
चालला,VM
भराभर,RB
.,SYM

वाटेत,VM
लागले,VAUX
ताईचे,NN
घर,NN
.,SYM

तीळ,NN
शिरला,VM
आत,PSP
थेट,NN
सैपाकघरात,NN
.,SYM

ताईच्या,NN
हातात,NN
छोटीशी,JJ
परात,NN
हलवा,NN
करायला,VM
तीळ,NN
नाही,NEG
घरात!,NN
ताई,NN
बसली,VM
रुसून,VM
तीळ,NN
म्हणतो,VAUX
हसून,VM
“घाल,VAUX
मला,PRP
पाकात,NN
हलवा,VM
कर,NN
झोकात,JJ
.,SYM
'',SYM
ताईने,NN
टाकला,VM
तीळ,NN
परातीत,NN
.,SYM

चमच्याने,NN
थेंब,NN
थेंब,NN
पाक,NN
ओतीत,VM
इकडून,PSP
तिकडे,PSP
बसली,VM
हालवीत,VM
.,SYM

शेगडी,NN
पेटली,VM
रसरसून,XC
वाटाणा,NN
फुटाणा,NN
शेंगदाणा,NN
गेले,VAUX
घाबरून,VM
|,SYM
