एक,QC
होती,VM
आजीबाई,NN
.,SYM

तिची,PRP
एक,QC
नात,NN
होती,VM
.,SYM

दोघींनाही,NN
मांजरांची,NN
खूप,RB
खूप,RB
आवड,VM
होती,VAUX
.,SYM

आजीबाईकडे,NN
चार,QC
मांजरे,NN
होती,VM
.,SYM

एकाचे,QO
नाव,NN
होते,VM
बोकोबा,NN
.,SYM

दुसरा,QO
होता,VM
सोकोबा,NN
तिसरा,QO
काळोबा,NNP
आणि,CC
चौथा,QO
साळोबा,NN
.,SYM

एकदा,QO
काय,WQ
झाले!,VM
आजीबाई,NN
गेली,VM
बाजारात,NN
.,SYM

मांजरे,NN
होती,VM
घरात,NN
.,SYM

आजीबाईने,NN
लोणी,NN
उंचावर,JJ
ठेवले,VM
होते,VAUX
.,SYM

ते,PRP
मांजरांनी,NN
पाहिले,VM
होते,VAUX
.,SYM

त्यांना,PRP
लोणी,NN
मिळवायचे,VM
होते,VAUX
.,SYM

उडी,VM
मारली,VM
तर,CC
आवाज,VM
होईल,VAUX
आणि,CC
सगळा,NN
बेत,NN
फुकट,VM
जाईल,VAUX
.,SYM

मग,CC
बोकोबाने,NN
बोलावले,VM
सोकोबाला,NN
.,SYM

सोकोबाने,NN
हाक,VM
मारली,VM
काळोबाला,NN
आणि,CC
साळोबाला,NN
.,SYM

आता,PSP
बोकोबा,NN
सोकोबा,NN
काळोबा,NNP
व,CC
साळोबा,NN
सारे,NN
जमले,VM
.,SYM

पण,CC
लोणी,NN
मिळवायचे,VM
कसे?,WQ
सगळे,PRP
विचार,VM
करू,VM
लागले,VAUX
.,SYM

छोटा,JJ
साळोबा,NN
फार,RB
हुशार,VM
.,SYM

तो,PRP
सांगू,VM
लागला,VM
“बोकोबा,
आपण,PRP
एकावर,QC
एक,QC
असे,VM
उभे,VM
राहू,VM
.,SYM
'',SYM
झाले!,VM
बेत,NN
ठरला,VM
आणि,CC
बोकोबावर,NN
सोकोबा,NN
सोकोबावर,NNP
काळोबा,NN
काळोबावर,NN
साळोबा,NN
अशी,CC
दहीहंडी,NN
तयार,VM
झाली,VM
.,SYM

पलीकडे,PSP
माधुरी,NNP
झोपली,VM
होती,VAUX
.,SYM

तिला,PRP
अचानक,RB
जाग,NN
आली,VM
.,SYM

तो,PRP
काय,WQ
गंमत,VM
समोर,PSP
मांजरांची,NN
दहीहंडी,XC
!,SYM
तिला,PRP
खूप,JJ
मजा,NN
वाटली,VM
.,SYM

तिने,PRP
इकडे,PSP
तिकडे,PSP
पाहिले,VM
.,SYM

तोच,PRP
आजी,NN
दारात,NN
दिसली,VM
.,SYM

माधुरी,NNP
आनंदाने,RB
ओरडली,VM
.,SYM

“,SYM
“आजी,NN
आजी,NN
लवकरयये,RB
.,SYM

मांजरांची,NN
दहीहंडी,NN
पाहून,VM
घे,VM
.,SYM
'',SYM
मांजरे,NN
एकदम,RB
घाबरली,VM
आणि,CC
लोणी,NN
टाकून,VM
पळाली,VM
.,SYM

