चुलीवरची,NN
खीर,NN
एकदा,QO
पुरीला,NN
हसली,VM
कढईतली,NN
पुरी,NN
मग,CC
गुरफटून,RB
बसली,VM
काही,WQ
केल्या,VM
खुलेना,VM
जरा,CC
सुद्धा,NN
फुलेना,NN
झाऱ्यानं,NN
टोचलं,VM
ते,PRP
ही,PRP
तिला,PRP
बोचलं,VM
अशी,NN
थट्टा,JJ
पुरीच्या,NN
काळजाला,NN
डसली,VM
पुरी,NN
झाली,VM
लाल,JJ
तिचे,PRP
फुगले,JJ
गाल,NN
मन,NN
आले,VM
भरू,VM
डोळे,NN
लागले,VM
झरू,VM
तिथून,PSP
उठून,VM
तरातरा,RDP
ताटात,NN
जाऊन,VM
बसली,VM
खीर,NN
थंड,JJ
झाली,VM
वाटीत,NN
बसून,VM
आली,VM
लाडे,JJ
लाडे,JJ
खीर,NN
मग,JJ
पुरीजवळ,NN
गेली,VM
“पुरीताई,NN
पुरीताई,NN
बघ,VM
जरा,NN
इकडे,PSP
माझे,PRP
म्हणणे,VM
ऐक,VM
गडे'',NN
.,SYM
..
पण,CC
अं,QF
हं,UNK
.,SYM
..
चार,QC
शब्द,NN
ऐकेल,VM
तर,CC
पुरी,NN
ती,PRP
कसली,WQ
तिकडून,PSP
ताई,NN
आलीतिने,XC
युक्ती,VM
केली,VAUX
”,SYM
खिरीची,NN
नि,CC
पुरीची,NN
खूप,RB
गट्टी,VM
झाली,VM
तेव्हापासून,PSP
त्यांची,PRP
जोडी,NN
पक्की,RB
होऊन,VM
बसली,VM
कढईतील,NN
पुरी,NN
मग,CC
कध्धी,QF
नाही,NEG
रुसली,VM
