आज,RB
शनिवार,NN
.,SYM

सकाळची,NN
शाळा,NN
.,SYM

ससोबा,NN
लवकर,RB
उठला,VM
.,SYM

शेपटी,NN
फुगवून,JJ
आळस,VM
देत,VM
ससोबा,NN
म्हणाला,VM
“अगं,NN
आई,NN
सकाळ,NN
झाली,VM
.,SYM

तू,PRP
कामाला,VM
लागलीस,VAUX
.,SYM

खाऊ,NN
आणायला,VM
बाबा,NN
बागेत,NN
गेले,VM
तरी,QF
अजून,CC
सूर्य,NN
कसा,WQ
नाही,NEG
उगवला?,VM
प्रकाश,NN
कसा,WQ
नाही,NEG
पडला,VM
गं?,VM
अं,QF
.,SYM
.,SYM
अजून,CC
रात्र,NN
आहे,VM
का,WQ
गं,INJ
आई?”,NN
आईने,NN
ससोबाला,NN
जवळ,PSP
घेतलं,VM
.,SYM

खुदकन,JJ
हसत,NN
ससोबा,NN
म्हणाला,VM
“आई,NN
.,SYM
.,SYM
तुझ्या,PRP
मिशा,NN
टोचतील,VM
हं,UNK
मला,PRP
.,SYM
'',SYM
तुडतुड,RDP
शेपटी,NN
हलवत,VM
आई,NN
प्रेमाने,JJ
म्हणाली,VM
“अलबत्,NN
“अरे,INJ
वेडुल्या,NN
ऐक,NN
तर,CC
.,SYM
'',SYM
ससोबा,NN
कान,NN
ताठ,JJ
करून,VM
ऐकू,VM
लागला,VM
.,SYM

आई,NN
सांगू,VM
लागली,VAUX
“आता,RB
आभाळ,NN
भरून,VM
आलंय,VAUX
.,SYM

आकाशात,NN
काळे,JJ
ढग,NN
आलेत,VM
.,SYM

आता,PSP
प्रकाश,NN
पडेल,VM
चमचमणाऱ्या,XC
विजेचा,NN
.,SYM

आवाज,VM
येईल,VAUX
गडगडणाऱ्या,XC
ढगांचा,NN
.,SYM

मग,CC
येईल,VM
पहिला,QO
पाऊस,NN
.,SYM

गारेगार,JJ
पाऊस,NN
.,SYM

रिमझिम,JJ
पाऊस,NN
.,SYM

तडतड,RDP
पाऊस,NN
.,SYM

मुसळधार,JJ
पाऊस,NN
.,SYM
'',SYM
कोबी,NN
आणि,CC
गाजरं,NN
घेऊन,VM
बाबा,NN
बागेतून,NN
येत,VM
होते,VAUX
.,SYM

ससोबा,NN
शेपटी,NN
ताठ,JJ
करून,VM
जोरात,RB
धावत,VM
सुटला,VAUX
.,SYM

पहिल्या,QO
पावसाची,NN
रिमझिम,JJ
बातमी,NN
त्याला,PRP
बाबांना,NN
सांगायची,VM
होती,VAUX
.,SYM

इतक्यात,QF
चमकन्‌,JJ
वीज,NN
चमकली,VM
आणि,CC
झाला,VM
की,CC
गडगडाट!,NN
ससोबा,NN
इतका,NN
दचकला,VM
की,CC
धाडकन्‌,NN
बाबांवरच,NN
आपटला,VM
.,SYM

काही,QF
बोलणार,VM
इतक्यात,QF
टपटप,RDP
टपटप,RDP
पाऊस,NN
वाजू,VM
लागला,VAUX
.,SYM

ससोबाला,NN
इतका,QF
आनंद,NN
झाला,VM
की,CC
त्याला,PRP
काही,QF
बोलताच,VM
येईना,VAUX
.,SYM

त्याने,PRP
बाबांना,NN
घट्ट,RB
मिठी,VM
मारली,VAUX
.,SYM

घरी,NN
आई,NN
वाटच,RB
पाहत,VM
होती,VAUX
.,SYM

घरी,NN
येताच,VM
ससोबा,NN
आईला,NN
ढकलतच,VM
अंगणात,NN
घेऊन,VM
गेला,VAUX
.,SYM

आई,NN
ससोबा,NN
आणि,CC
बाबा,NN
सारे,QF
मिळून,NN
पावसात,NN
गारेगार,JJ
भिजले,VM
.,SYM

पावसात,NN
नाचले,VM
.,SYM

गाणी,NN
गायले,VM
.,SYM

पाऊसफुलांत,XC
भिजताना,VM
आपल्या,PRP
ओल्या,JJ
मिशांवरहात,XC
फिरवत,VM
ससोबा,NN
आईला,NN
म्हणाला,VM
‘‘आई-आई,RDP
पावसात,NN
असं,RB
भिजल्या,VM
वर,UNK
आल्याचा,NN
गरम,JJ
गरम,JJ
चहा,NN
बरा,JJ
म्हणून,CC
मी,PRP
तुला,PRP
भिजायला,VM
आणलं,VAUX
गं,DEM
.,SYM
..’’,SYM
चिंब,RB
भिजलेल्या,VM
ससुल्याला,NN
जवळ,PSP
घेत,VM
आई,NN
म्हणाली,VM
“अलबत्,NN
‘‘आलं,VM
माझ्या,PRP
लक्षात!’’,VM
